"","Berba","Pupanje","Pupanje_doy","Cvatnja","Cvatnja_doy","Å ara","Sara_doy","Datum_berbe","Berba_doy","Cvatnja_Pupanje","Sara_Pupanje","Berba_Pupanje","Sara_Cvatnja","Berba_Sara"
"1",2008,2008-04-01,92,2008-05-25,146,2008-07-26,208,2008-09-02,246,54,116,154,62,38
"2",2009,2009-04-02,92,2009-05-19,139,2009-07-21,202,2009-08-29,241,47,110,149,63,39
"3",2010,2010-04-04,94,2010-05-26,146,2010-07-26,207,2010-09-02,245,52,113,151,61,38
"4",2011,2011-04-01,91,2011-05-19,139,2011-07-22,203,2011-08-26,238,48,112,147,64,35
"5",2012,2012-03-27,87,2012-05-23,144,2012-07-21,203,2012-08-21,234,57,116,147,59,31
"6",2013,2013-04-09,99,2013-05-25,145,2013-07-27,208,2013-09-02,245,46,109,146,63,37
"7",2014,2014-03-06,65,2014-05-19,139,2014-07-24,205,2014-09-12,255,74,140,190,66,50
"8",2015,2015-04-01,91,2015-05-18,138,2015-07-17,198,2015-09-02,245,47,107,154,60,47
"9",2016,2016-03-13,73,2016-05-18,139,2016-07-22,204,2016-09-05,249,66,131,176,65,45
"10",2017,2017-03-22,81,2017-05-19,139,2017-07-17,198,2017-08-26,238,58,117,157,59,40
"11",2018,2018-04-02,92,2018-05-13,133,2018-07-12,193,2018-08-26,238,41,101,146,60,45
"12",2019,2019-03-23,82,2019-06-01,152,2019-07-27,208,2019-09-08,251,70,126,169,56,43
"13",2020,2020-03-18,78,2020-05-16,137,2020-07-21,203,2020-08-30,243,59,125,165,66,40
